"date","team","opponents","where","competition","time","score"
"19/08/2018","KESTRELS","NORTH AYR","HOME","CHALLENGE","6:00PM","3-6"
"26/08/2018","KESTRELS","NORTH AYR","AWAY","CHALLENGE","6:00PM",""
"01/09/2018","KESTRELS","SOLWAY","AWAY","TOURNAMENT","",""
"02/09/2018","KESTRELS","SOLWAY","AWAY","TOURNAMENT","",""
"08/09/2018","KESTRELS","ABERDEEN","AWAY","EAST CONF","7:15PM",""
"08/09/2018","CHIEFS","MURRAYFIELD","AWAY","LEAGUE","12:15PM",""
"08/09/2018","FLAMES","MURRAYFIELD","AWAY","LEAGUE","4:45PM",""
"09/09/2018","REDSKINS","LANARKSHIRE","AWAY","LEAGUE","10:00AM",""
"15/09/2018","CHIEFS","DUNDEE","AWAY","LEAGUE","TBC",""
"16/09/2018","REDSKINS","NORTH AYR","HOME","LEAGUE","TBC",""
"16/09/2018","FALCONS","NORTH AYR","HOME","LEAGUE","7:00PM",""
"22/09/2018","CHIEFS","AYR BRUINS","AWAY","LEAGUE","TBC",""
"22/09/2018","FLAMES","AYR BRUINS","AWAY","LEAGUE","TBC",""
"23/09/2018","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"23/09/2018","KESTRELS","ABERDEEN","HOME","EAST CONF","7:00PM",""
"29/09/2018","EAGLES","TBC","HOME","CHALLENGE","6:30PM",""
"29/09/2018","KESTRELS","MURRAYFIELD","HOME","EAST CONF","8:00PM",""
"06/10/2018","KESTRELS","DUNDEE COMETS","AWAY","EAST CONF","7:30PM",""
"14/10/2018","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"14/10/2018","KESTRELS","DUNDEE TIGERS","HOME","EAST CONF","7:15PM",""
"20/10/2018","KESTRELS","DUNDEE TIGERS","AWAY","EAST CONF","7:30PM",""
"21/10/2018","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"21/10/2018","KESTRELS","DUNDEE COMETS","HOME","EAST CONF","7:15PM",""
"28/10/2018","KESTRELS","DUNDEE COMETS","AWAY","LEAGUE","7:30PM",""
"11/11/2018","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"11/11/2018","KESTRELS","DUNDEE TIGERS","HOME","LEAGUE","7:15PM",""
"18/11/2018","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"18/11/2018","KESTRELS","PAISLEY","HOME","LEAGUE","7:15PM",""
"24/11/2018","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"24/11/2018","KESTRELS","MURRAYFIELD","HOME","LEAGUE","7:15PM",""
"08/12/2018","KESTRELS","KILMARNOCK","AWAY","LEAGUE","7:30PM",""
"09/12/2018","KESTRELS","MURRAYFIELD","AWAY","LEAGUE","6:00PM",""
"16/12/2018","KESTRELS","PAISLEY","AWAY","EAST CONF","5:00PM",""
"23/12/2018","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"23/12/2018","KESTRELS","ABERDEEN","HOME","LEAGUE","7:15PM",""
"29/12/2018","KESTRELS","CANADIAN UNI","HOME","CHALLENGE","7:00PM",""
"30/12/2018","KESTRELS","SOLWAY","AWAY","LEAGUE","5:30PM",""
"05/01/2019","KESTRELS","NORTH AYR","AWAY","LEAGUE","TBC",""
"13/01/2019","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"13/01/2019","KESTRELS","KILMARNOCK","HOME","LEAGUE","7:15PM",""
"19/01/2019","KESTRELS","DUNDEE TIGERS","AWAY","LEAGUE","7:30PM",""
"03/02/2019","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"03/02/2019","KESTRELS","NORTH AYR","HOME","LEAGUE","7:15PM",""
"10/02/2019","KESTRELS","MURRAYFIELD","AWAY","LEAGUE","6:00PM",""
"17/02/2019","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"17/02/2019","KESTRELS","DUNDEE COMETS","HOME","LEAGUE","7:15PM",""
"23/02/2019","KESTRELS","ABERDEEN","AWAY","LEAGUE","",""
"02/03/2019","EAGLES","TBC","HOME","CHALLENGE","5:30PM",""
"02/03/2019","KESTRELS","SOLWAY","HOME","LEAGUE","7:15PM",""
"16/03/2019","KESTRELS","TBC","HOME","PLAY OFF QTR","TBC",""
"17/03/2019","KESTRELS","TBC","AWAY","PLAY OFF QTR","TBC",""
