"date","team","opponents","where","competition","time","score"
"19/08/2018","KESTRELS","NORTH AYR","HOME","CHALLENGE","6:00PM","3-6"
"26/08/2018","KESTRELS","NORTH AYR","AWAY","CHALLENGE","6:00PM","6-3"
"01/09/2018","KESTRELS","SOLWAY","AWAY","TOURNAMENT","",""
"02/09/2018","KESTRELS","SOLWAY","AWAY","TOURNAMENT","",""
"08/09/2018","KESTRELS","ABERDEEN","AWAY","EAST CONF","7:15PM","3-2"
"08/09/2018","CHIEFS","MURRAYFIELD","AWAY","LEAGUE","12:15PM","15-1"
"08/09/2018","FLAMES","MURRAYFIELD","AWAY","LEAGUE","4:45PM","12-1"
"09/09/2018","REDSKINS","LANARKSHIRE","AWAY","LEAGUE","10:00AM","11-2"
"16/09/2018","CHIEFS","DUNDEE","AWAY","LEAGUE","4:45PM","3-6"
"16/09/2018","REDSKINS","NORTH AYR","HOME","LEAGUE","5:00PM","7-2"
"16/09/2018","FALCONS","NORTH AYR","HOME","LEAGUE","7:00PM","17-2"
"22/09/2018","CHIEFS","AYR BRUINS","AWAY","LEAGUE","3:15PM","31-1"
"22/09/2018","FLAMES","AYR BRUINS","AWAY","LEAGUE","5:00PM","24-2"
"23/09/2018","EAGLES","ABERDEEN","HOME","CHALLENGE","5:30PM","4-2"
"23/09/2018","KESTRELS","ABERDEEN","HOME","EAST CONF","7:00PM","5-3"
"29/09/2018","EAGLES","MURRAYFIELD","HOME","CHALLENGE","6:30PM","11-2"
"29/09/2018","KESTRELS","MURRAYFIELD","HOME","EAST CONF","8:00PM","2-3"
"06/10/2018","KESTRELS","DUNDEE COMETS","AWAY","EAST CONF","7:30PM","3-3"
"06/10/2018","REDSKINS","SOLWAY","HOME","LEAGUE","6:30PM","3-2"
"06/10/2018","CHIEFS","SOLWAY","HOME","LEAGUE","8:00PM","14-0"
"13/10/2018","CHIEFS","NORTH AYR","AWAY","LEAGUE","6:00PM","5-8"
"14/10/2018","KESTRELS","DUNDEE TIGERS","HOME","EAST CONF","6:00PM","13-0"
"20/10/2018","REDSKINS","DUNDEE","AWAY","LEAGUE","5:45PM","6-0"
"20/10/2018","KESTRELS","DUNDEE TIGERS","AWAY","EAST CONF","7:30PM","8-1"
"21/10/2018","EAGLES","KILMARNOCK","HOME","CHALLENGE","5:30PM","8-0"
"21/10/2018","KESTRELS","DUNDEE COMETS","HOME","EAST CONF","7:15PM","3-6"
